control_id,type,topic,clause,statement,doc_title,page,doc_id
QCB-Personal-Data-Privacy-P15-I6,SHALL,General,,"The Electronic Communication shall include the identity of the originator thereof, and highlight that it is sent for the purpose of Direct Marketing.",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,15,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P15-I7,SHALL,Security Controls,,"In addition, it shall include a valid address for easy access thereto and through which an Individual can send a request to the originator to stop such communications or revoke the consent on the sending thereof.",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,15,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P16-I0,SHALL,General,,"This document is not official and the official version of the law is the one published in the Official Gazette number 15 of year 2016 that is available on almeezan.qa Chapter Seven Penalties Article (23) Without prejudice to any more severe penalty stipulated in any other law, a penalty that shall not exceed (1, 000,000) one million QR shall be applicable to anyone violating any of the provisions of the Articles (4, 8, 9, 10, 11, 12, 14, 15, and 22) hereof .",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,16,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P16-I1,SHALL,General,,"Article (24) Without prejudice to any more severe penalty stipulated in any other law, a penalty that shall not exceed (5, 000, 000) five million QR shall be applicable to anyone violating any of the provisions of the Articles (13), (16\ paragraph 3), and (17) hereof.",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,16,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P16-I2,SHALL,General,,"Article (25) A penalty that shall not exceed (1,000,000) One million QR shall be applicable to violating legal person, in the event of committing any of those crimes stipulated herein on the name or for the interest thereof, without prej udice to criminal liability taken by affiliated natural person.",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,16,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P17-I0,MAY,General,,This document is not official and the official version of the law is the one published in the Official Gazette number 15 of year 2016 that is available on almeezan.qa Chapter Eight Final Provisions Article (26) An Individual may file a complaint to the Competent Department in case of violating provisions hereof and the issued decisions in the implementation thereof.,Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,17,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P17-I1,MAY,General,,"The Competent Department may, after investigating received complaints and proving the seriousness thereof, issue a reasoned decision binding the Controller or Processor, as the case may be, to rectify such breach within a period it specifies.",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,17,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P17-I2,MAY,General,,"The Controller or Processor may raise a grievance against such decision to the Minister, within sixty days from the notification date thereof.",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,17,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P17-I3,SHALL,General,,"The Minister shall decide on the grievance within sixty days from the date of the submission thereof, and the lapse of such period without a response shall be considered as an implicit rejection of the grievance, and the decision of the Minister thereon shall be final.",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,17,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P18-I5,SHALL,General,,Article (28) Any contract or agreement made in violation of the provisions hereof shall be regarded as null and void.,Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,18,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P18-I6,MAY,General,,"Article (29) The Ministry employees, authorized as law enforcement officers as per a decision by the Public Prosecutor, in agreement with the Minister, may detect and prove crimes committed in violation of provisions hereof.",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,18,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P18-I8,MAY,General,,"Such period may be extended for other similar period or periods by virtue of a decision of the Council of Ministers, upon the proposal of the Minister.",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,18,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P19-I0,SHALL,General,,This document is not official and the official version of the law is the one published in the Official Gazette number 15 of year 2016 that is available on almeezan.qa Article (31) The Minister shall issue the necessary decisions for the implementation of the provisions hereof.,Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,19,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P19-I1,SHALL,General,,"Article 32 All the competent authorities, each within the competences thereof, shall implement this Law, and it shall be published in the official gazette.",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,19,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
