policy_name,control_id,control_statement,implementation_task,owner,status,evidence_link,source_doc_title,source_page,source_controls_file
Data handling and privacy policy,QCB-Data-Handling-P8-I17,Data Security 8.1 A Financial Institution must develop robust data quality controls and validation processes to ensure the accuracy and reliability of processed data.,Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,8,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P9-I0,"Data Handling and Protection Regulation 9 8.2 A Financial Institution must develop dedicated security controls for all data that is classified as PII, SPI or SFI, while applying requirements as per the Sector-Specific Security Regulation to protect it based on criticality and assumed risks.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,9,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P9-I1,"8.3 A Financial Institution must update its security controls for all data tha t is classified as PII, SPI or SFI, while accounting for the changing threat landscape.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,9,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P9-I2,"8.4 A Financial Institution may utilize tools and technologies to operationalize its data classification and management requirements, while ensuring regular testing and pat ching of the systems and that they are kept up to date.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,9,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P9-I4,8.5 A Financial Institution must review its data classification on regular basis t o mitigate risks of misclassification.,Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,9,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P9-I5,"8.6 A Financial Institution must transfer its data through secure and encrypted mediums, as per leading industry standards and the Sector-Specific Security Regulation.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,9,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P9-I6,"8.7 A Financial Institution must use specialized, reputable and secure physical transportation methods, when transporting data on a physical medium such a documents or storage tapes.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,9,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P9-I9,"9.2 A Financial Institution must assess its Third Party’s compliance to relevant data protection laws and regulations, as well as any certifications or audit reports.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,9,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P9-I10,"9.3 A Financial Institution may only share sensitive information with Third Parties they have non-disclosure and confidentiality requirements in place with, dependent on the associated risks.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,9,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P9-I11,9.4 A Financial Institution must ensure that any data breaches or data privacy breaches involving its data are promptly reported by the Third Party involved to a designated representative within the Financial Institution.,Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,9,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P9-I12,"9.5 A Financial Institution must include provisions for data protection, confidentiality, and co mpliance with regulatory requirements within its contractual agreements with Third Parties.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,9,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P9-I13,"9.6 A Financial Institution must collect consent from customers and employees prior to sharing their information with a Third Party, unless this is shared for legal purposes, regulatory purposes, or contract fulfilment.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,9,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P9-I14,9.7 A Financial Institution must inform the customer of the impact of not granting consent to information sharing with the Third Party.,Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,9,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P9-I15,9.8 A Financial Institution must ensure its Third Parties handle data in a manner that meets the requirements of this regulation.,Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,9,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P9-I16,9.9 A Financial Institution must implement risk-based data protection controls for data residing in all environments and data hosted by its Third Parties.,Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,9,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P10-I1,Assessments and Reporting 10.1 A Financial Institution must document a policy mandating ongoing data handling and management assessments including those defined within this section.,Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,10,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P10-I2,"10.2 A Financial Institution must subject its primary, secondary, Disaster Recovery (DR) and backup environments to the assessments defined within this section.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,10,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P10-I3,"10.3 A Financial Institution must define a process for conducting Privacy Impact Assessments (PIA) for all sensitive processes, in order to test whether privacy objectives are met and to ensure that data processin g adheres to processing requirements, retention requirements and appropriate access controls.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,10,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P10-I4,The process must include: 10.3.1 Defining what a sensitive process is and when a PIA is required.,Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,10,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P10-I10,10.4 A Financial Institution must conduct a PIA in the following cases: 10.4.1 Initiating a new activity that involves a sensitive process.,Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,10,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P10-I12,3 Observing significant changes to laws and regulations of relevant jurisdictions that may impact Data Subject privacy.,Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,10,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P10-I13,10.5 A Financial Institution must review its PIA methodologies for accuracy and relevance and update as needed.,Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,10,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P10-I14,"10.6 A Financial Institution must establish a foreign data handling assessment that ensures data stored in, passing through or accessible from foreign jurisdictions continues to meet regulatory requirements and data protection standards.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,10,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P10-I15,"10.7 A Financial Institution must monitor changes in the legal and regulatory landscape of foreign jurisdictions to promptly assess and address any potential impact, on ongoing basis, reporting significant findings to QCB.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,10,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P10-I16,10.8 A Financial Institution must develop a procedure that defines the mechanisms by which these assessments will be completed.,Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,10,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P10-I17,"This must include the following: 10.8.1 Assessment owner 10.8.2 Assessment stakeholders 10.8.3 Timeline and Frequency 10.8.4 Expected outcomes and recommendations 10.9 A Financial Institution must audit its data handling and management activities, and assess its compliance to data protection laws, regulations and leading industry standards as per the Financial Institution’s defined audit cycle.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,10,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P11-I1,"Data Retention 11.1 A Financial Institution must ensure its retention of different categories of data considers legal, regulatory, and business requirements.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,11,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P11-I2,11.2 A Financial Institution must comply to data retention requirements specified in the relevant AML / CFT laws and regulations.,Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,11,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P11-I3,"11.3 A Financial Institution must retain data as per the following table: Data Minimum Retention Period SFI 10 years Personal Data, PII and SPI 10 years Technical Information 1 year All other data To be defined by the Financial Institution 11.4 A Financial Institution must retain data beyond the minimum retention periods defined within 11.3, if the extended data retention is obligated by a legal or regulatory mandate.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,11,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P11-I5,"Disaster Recovery & Business Continuity Backup 12.1 A Financial Institution must establish a Business Continuity and Disaster Recovery plan, emphasizing resilient data protection and privacy safeguards.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,11,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P11-I6,The plan must include: 12.1.1 Local and foreign DR and backup requirements 12.1.2 Policy and processes for DR and data backup 12.1.3 Data retention periods 12.1.4 Backup frequency 12.1.5 Data storage and destruction processes 12.1.6 Defined trigger events 12.1.7 Ongoing testing and assessments 12.2 A Financial Institution must integrate its disaster recovery plan process into the Financial Institution’s overall governance processes and risk management framework.,Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,11,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P11-I8,"12.3 A Financial Institution must ensure continuous availability of critical systems and processes through redundancy controls and failover processes which include but are not limited to: conducting real -time or scheduled backups of critical data, ensuring that backup frequency aligns with the criticality and volatility of the data.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,11,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P11-I9,"12.4 A Financial Institution must implement security controls including robust encryption and data security measures for DR and backups, as per the Sector-Specific Security Regulation.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,11,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P11-I10,"12.5 A Financial Institution must define and implement physical access management controls and processes to protect DR and backup data centers, network equipment rooms, storage sites, servers and workstations, in accordance with the Sector-Specific Security Regulation.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,11,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P11-I11,12.6 A Financial Institution must regularly test its Business Continuity and Disaster Recovery plans.,Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,11,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P12-I0,"Data Handling and Protection Regulation 12 12.7 A Financial Institution must consider any legal, reputational and operational impediments within its disaster recovery plan.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,12,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P12-I1,"12.8 A Financial Institution must assess jurisdictional, legal, regulatory, political, and environmental risks associated with foreign DR and backup locations.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,12,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P12-I2,12.9 A Financial Institution must remain responsible and accountable for its disaster recovery readiness activities.,Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,12,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P12-I3,"12.10 A Financial Institution must develop a disaster recovery communication plan with relevant stakeholders, including QCB, shareholders, employees, key group entities, Third Parties, customers, regulators and the media.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,12,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P12-I4,12.11 A Financial Institution must ensure that business continuity is not disrupted by dependencies on outsourcing contracts with Third Party service providers.,Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,12,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P12-I5,12.12 A Financial Institution must maintain its backup and DR environments as per the following table: Local Banks & Insurance Companies Branches of Foreign Banks & Insurance Companies Other Local Financial Institutions Branches of Other Foreign Financial Institutions Local DR Mandatory Qatar-Based Systems – Mandatory Other – Recommended Mandatory Qatar-Based Systems – Mandatory Other – Recommended Foreign DR Optional.,Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,12,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P12-I6,"However, the QCB reserves the right to direct any Financial Institution to maintain a foreign DR at its discretion Local backup Mandatory Mandatory Mandatory Mandatory Foreign backup Mandatory Mandatory Recommended Recommended 12.13 A Financial Institution must request approval from QCB when it utilizes foreign DR and backup environments, in alignment with section 15 below.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,12,data_handling_and_protection_regulation_controls.json
